Audit complete: healthScore=86.0%, issues=14, stale=1, unassigned=0, badBlockers=13, countMismatches=0
Audit complete: healthScore=85.0%, issues=12, stale=0, unassigned=0, badBlockers=12, countMismatches=0
Audit complete: healthScore=83.3%, issues=13, stale=0, unassigned=0, badBlockers=13, countMismatches=0
Audit complete: healthScore=83.6%, issues=12, stale=0, unassigned=0, badBlockers=12, countMismatches=0
Audit complete: healthScore=91.2%, issues=4, stale=0, unassigned=0, badBlockers=5, countMismatches=0
Audit complete: healthScore=83.3%, issues=6, stale=0, unassigned=0, badBlockers=12, countMismatches=0
Audit complete: healthScore=84.7%, issues=8, stale=0, unassigned=0, badBlockers=13, countMismatches=0
Audit complete: healthScore=83.7%, issues=8, stale=1, unassigned=0, badBlockers=15, countMismatches=0
Audit complete: healthScore=84.3%, issues=6, stale=1, unassigned=0, badBlockers=14, countMismatches=0
Audit complete: healthScore=83.0%, issues=7, stale=1, unassigned=0, badBlockers=15, countMismatches=0
Audit complete: healthScore=75.7%, issues=8, stale=1, unassigned=0, badBlockers=25, countMismatches=0
